Muscle,Muscle_ID,Head_Type,Head_Type_ID,Unique_Head,Unique_Head_ID,Chirality_Flag,Model_Reference_Name,Modele_Reference_ID
Pectoralis Minor,027,Pectoralis Minor Lateral Head ,02703,Pectoralis Minor Lateral Head  Left,027031,T,Pectoralis_minor_muscle_right,107
Pectoralis Minor,027,Pectoralis Minor Lateral Head ,02703,Pectoralis Minor Lateral Head  Right,027032,T,Pectoralis_minor_muscle_right,108
Serratus Anterior,028,Serratus Anterior Superior,02801,Serratus Anterior Superior Left,028011,T,Serratus_posterior_superior_muscle_left,109
Serratus Anterior,028,Serratus Anterior Superior,02801,Serratus Anterior Superior Right,028012,T,Serratus_posterior_superior_muscle_right,110
Serratus Anterior,028,Serratus Anterior Anterior,02802,Anterior Left,028021,T,Serratus_anterior_muscle_left,111
Serratus Anterior,028,Serratus Anterior Anterior,02802,Anterior Right,028022,T,Serratus_anterior_muscle_right,112
Serratus Anterior,028,Serratus Anterior Inferior,02803,Serratus Anterior Inferior Left,028031,T,Serratus_posterior_inferior_muscle_left,113
Serratus Anterior,028,Serratus Anterior Inferior,02803,Serratus Anterior Inferior Right,028032,T,Serratus_posterior_inferior_muscle_right,114
Rectus Abdominis,029,Rectus Abdominus,02901,Rectus Abdominus Left,029011,T,Rectus_abdominis_muscle_left,115
Rectus Abdominis,029,Rectus Abdominus,02901,Rectus Abdominus Right,029012,T,Rectus_abdominis_muscle_right,116
Transverse Abdominis,030,Transverse Abdominis,03001,Transverse Abdominis Left,030011,T,Transversus_abdominis_muscle_left,117
Transverse Abdominis,030,Transverse Abdominis,03001,Transverse Abdominis Right,030012,T,Transversus_abdominis_muscle_right,118
Obliques,031,External Oblique,03101,External Oblique Left,031011,T,External_oblique_left,119
Obliques,031,External Oblique,03101,External Oblique Right,031012,T,External_oblique_right,120
Obliques,031,Internal Oblique,03102,Internal Oblique Left,031021,T,Internal_oblique_left,121
Obliques,031,Internal Oblique,03102,Internal Oblique Right,031022,T,Internal_oblique_right,122
Quadratus Lumborum,032,Quadratus Lumborum,03201,Quadratus Lumborum Left,032011,T,Quadratus_lumborum_muscle_left,123
Quadratus Lumborum,032,Quadratus Lumborum,03201,Quadratus Lumborum Right,032012,T,Quadratus_lumborum_muscle_right,124
Erector Spinae,033,Erector Spinae iliocastalis,03301,Erector Spinae iliocastalis Left,033011,T,Iliocostalis_muscle_left,125
Erector Spinae,033,Erector Spinae iliocastalis,03301,Erector Spinae iliocastalis Right,033012,T,Iliocostalis_muscle_right,126
Erector Spinae,033,Erector Spinae longissimus,03302,Erector Spinae longissimus Left,033021,T,Longissimus_muscle_left,127
Erector Spinae,033,Erector Spinae longissimus,03302,Erector Spinae longissimus Right,033022,T,Longissimus_muscle_right,128
Erector Spinae,033,Erector Spinae spinalis,03303,Erector Spinae spinalis Left,033031,T,Semispinalis_muscle_left,129
Erector Spinae,033,Erector Spinae spinalis,03303,Erector Spinae spinalis Right,033032,T,Semispinalis_muscle_right,130
Gluteus Maximus,034,Gluteus Maximus Upper Fibers,03401,Gluteus Maximus Upper Fibers Left,034011,T,Gluteus_maximus_muscle_left,131
Gluteus Maximus,034,Gluteus Maximus Upper Fibers,03401,Gluteus Maximus Upper Fibers Right,034012,T,Gluteus_maximus_muscle_right,132
Gluteus Maximus,034,Gluteus Maximus Lower Fibers,03402,Gluteus Maximus Lower Fibers Left,034021,T,Gluteus_maximus_muscle_left,133
Gluteus Maximus,034,Gluteus Maximus Lower Fibers,03402,Gluteus Maximus Lower Fibers Right,034022,T,Gluteus_maximus_muscle_right,134
Gluteus Medius,035,Gluteus Medius Anterior Fibers,03501,Gluteus Medius Anterior Fibers Left,035011,T,Gluteus_medius_muscle_left,135
Gluteus Medius,035,Gluteus Medius Anterior Fibers,03501,Gluteus Medius Anterior Fibers Right,035012,T,Gluteus_medius_muscle_right,136
Gluteus Medius,035,Gluteus Medius Posterior Fibers,03502,Gluteus Medius Posterior Fibers Left,035021,T,Gluteus_medius_muscle_left,137
Gluteus Medius,035,Gluteus Medius Posterior Fibers,03502,Gluteus Medius Posterior Fibers Right,035022,T,Gluteus_medius_muscle_right,138
Gluteus Minimus,036,Gluteus Minimus,03601,Gluteus Minimus Left,036011,T,Gluteus_minimus_muscle_left,139
Gluteus Minimus,036,Gluteus Minimus,03601,Gluteus Minimus Right,036012,T,Gluteus_minimus_muscle_right,140
Tensor Fascie Latae,037,Tensor Fasciae Latae,03701,Tensor Fasciae Latae Left,037011,T,Tensor_fasciae_latae_left,141
Tensor Fascie Latae,037,Tensor Fasciae Latae,03701,Tensor Fasciae Latae Right,037012,T,Tensor_fasciae_latae_right,142
Iliopsoas,038,Iliopsoas Iliacus,03801,Iliopsoas Iliacus Left,038011,T,Iliopsoas_fascia_left,143
Iliopsoas,038,Iliopsoas Iliacus,03801,Iliopsoas Iliacus Right,038012,T,Iliopsoas_fascia_right,144
Iliopsoas,038,Iliopsoas Psoas,03802,Iliopsoas Psoas Left,038021,T,Psoas_major_left,145
Iliopsoas,038,Iliopsoas Psoas,03802,Iliopsoas Psoas Right,038022,T,Psoas_major_right,146
Sartorius,039,Sartorius,03901,Sartorius Left,039011,T,Sartorius_muscle_left,147
Sartorius,039,Sartorius,03901,Sartorius Right,039012,T,Sartorius_muscle_right,148
Rectus Femoris,040,Rectus Femoris,04001,Rectus Femoris Left,040011,T,Rectus_femoris_muscle_left,149
Rectus Femoris,040,Rectus Femoris,04001,Rectus Femoris Right,040012,T,Rectus_femoris_muscle_right,150
Rectus Femoris,040,Rectus Femoris Vastus Laateralis (Externus),04002,Rectus Femoris Vastus Laateralis (Externus) Left,040021,T,Vastus_lateralis_muscle_left,151
Rectus Femoris,040,Rectus Femoris Vastus Laateralis (Externus),04002,Rectus Femoris Vastus Laateralis (Externus) Right,040022,T,Vastus_lateralis_muscle_right,152
Rectus Femoris,040,Rectus Femoris Vastus Intermedius,04003,Rectus Femoris Vastus Intermedius Left,040031,T,Vastus_intermedius_muscle_left,153
Rectus Femoris,040,Rectus Femoris Vastus Intermedius,04003,Rectus Femoris Vastus Intermedius Right,040032,T,Vastus_intermedius_muscle_right,154
Rectus Femoris,040,Rectus Femoris Vastus Medialis (Internus),04004,Rectus Femoris Vastus Medialis (Internus) Left,040041,T,Vastus_medialis_muscle_left,155
