Muscle,Muscle_ID,Head_Type,Head_Type_ID,Region,Muscle_Group,Muscle_Subname
Rectus Femoris,040,Rectus Femoris,04001,Lower,Hips,Hip Flexors
Rectus Femoris,040,Rectus Femoris,04001,Lower,Hips,Hip Flexors
Rectus Femoris,040,Rectus Femoris Vastus Laateralis (Externus),04002,Lower,Hips,Hip Flexors
Rectus Femoris,040,Rectus Femoris Vastus Laateralis (Externus),04002,Lower,Hips,Hip Flexors
Rectus Femoris,040,Rectus Femoris Vastus Intermedius,04003,Lower,Hips,Hip Flexors
Rectus Femoris,040,Rectus Femoris Vastus Intermedius,04003,Lower,Hips,Hip Flexors
Rectus Femoris,040,Rectus Femoris Vastus Medialis (Internus),04004,Lower,Hips,Hip Flexors
Rectus Femoris,040,Rectus Femoris Vastus Medialis (Internus),04004,Lower,Hips,Hip Flexors
Pectineus,041,Pectineus,04101,Lower,Hips,Hip Flexors
Pectineus,041,Pectineus,04101,Lower,Hips,Hip Flexors
Deep External Rotators,042,Deep External Rotators Piriformis,04201,Lower,Hips,
Deep External Rotators,042,Deep External Rotators Piriformis,04201,Lower,Hips,
Deep External Rotators,042,Deep External Rotators Gemellus Superior,04202,Lower,Hips,
Deep External Rotators,042,Deep External Rotators Gemellus Superior,04202,Lower,Hips,
Deep External Rotators,042,Deep External Rotators Obturator Internus,04203,Lower,Hips,
Deep External Rotators,042,Deep External Rotators Obturator Internus,04203,Lower,Hips,
Deep External Rotators,042,Deep External Rotators Gemellus Inferior,04204,Lower,Hips,
Deep External Rotators,042,Deep External Rotators Gemellus Inferior,04204,Lower,Hips,
Deep External Rotators,042,Deep External Rotators Obturator Externus,04205,Lower,Hips,
Deep External Rotators,042,Deep External Rotators Obturator Externus,04205,Lower,Hips,
Deep External Rotators,042,Deep External Rotators Quadratus Femoris,04206,Lower,Hips,
Deep External Rotators,042,Deep External Rotators Quadratus Femoris,04206,Lower,Hips,
Quadriceps,043,Quadraiceps Rectus Femoris,04301,Lower,Thighs,
Quadriceps,043,Quadraiceps Rectus Femoris,04301,Lower,Thighs,
Quadriceps,043,Quadraiceps Vastus Lateralis (Externus),04302,Lower,Thighs,
Quadriceps,043,Quadraiceps Vastus Lateralis (Externus),04302,Lower,Thighs,
Quadriceps,043,Quadraiceps Vastus Intermedius,04303,Lower,Thighs,
Quadriceps,043,Quadraiceps Vastus Intermedius,04303,Lower,Thighs,
Quadriceps,043,Quadraiceps Vastus Medialis (Internus),04304,Lower,Thighs,
Quadriceps,043,Quadraiceps Vastus Medialis (Internus),04304,Lower,Thighs,
Hamstrings,044,Hamstrings Biceps Femoris Long Head,04401,Lower,Thighs,
Hamstrings,044,Hamstrings Biceps Femoris Long Head,04401,Lower,Thighs,
Hamstrings,044,Hamstrings Biceps Femoris Short Head,04402,Lower,Thighs,
Hamstrings,044,Hamstrings Biceps Femoris Short Head,04402,Lower,Thighs,
Hamstrings,044,Hamstrings Semitendinosus,04403,Lower,Thighs,
Hamstrings,044,Hamstrings Semitendinosus,04403,Lower,Thighs,
Hamstrings,044,Hamstrings Semimembranosus,04404,Lower,Thighs,
Hamstrings,044,Hamstrings Semimembranosus,04404,Lower,Thighs,
Adductors,045,Adductor Brevis,04501,Lower,Thighs,Hip Adductors
Adductors,045,Adductor Brevis,04501,Lower,Thighs,Hip Adductors
Adductors,045,Adductor Longus,04502,Lower,Thighs,Hip Adductors
Adductors,045,Adductor Longus,04502,Lower,Thighs,Hip Adductors
Adductors,045,Adductor Magnus,04503,Lower,Thighs,Hip Adductors
Adductors,045,Adductor Magnus,04503,Lower,Thighs,Hip Adductors
Gracilis ,046,Gracilis,04601,Lower,Thighs,Hip Adductors
Gracilis ,046,Gracilis,04601,Lower,Thighs,Hip Adductors
Adductor Magnus,047,Adductor Brevis,04701,Lower,Thighs,
Adductor Magnus,047,Adductor Brevis,04701,Lower,Thighs,
Adductor Magnus,047,Adductor Longus,04702,Lower,Thighs,
Adductor Magnus,047,Adductor Longus,04702,Lower,Thighs,
Adductor Magnus,047,Adductor Magnus,04703,Lower,Thighs,
Adductor Magnus,047,Adductor Magnus,04703,Lower,Thighs,
Gastrocnemius,048,Gastrocnemius Medial Head,04801,Lower,Calves,
Gastrocnemius,048,Gastrocnemius Medial Head,04801,Lower,Calves,
Gastrocnemius,048,Gastrocnemius Lateral Head,04802,Lower,Calves,
Gastrocnemius,048,Gastrocnemius Lateral Head,04802,Lower,Calves,
Soleus,049,Soleus,04901,Lower,Calves,
Soleus,049,Soleus,04901,Lower,Calves,
Tibialis Anterior,050,Tibialis Anterior,05001,Lower,Calves,
Tibialis Anterior,050,Tibialis Anterior,05001,Lower,Calves,
Popilteus,051,Popliteus,05101,Lower,Calves,
Popilteus,051,Popliteus,05101,Lower,Calves,
